Ticker,Sector,Industry,MarketCap,TrailingPE,ForwardPE,PriceToBook,DividendYield,Beta,ProfitMargin,OperatingMargin,ReturnOnAssets,ReturnOnEquity,RevenueGrowth,DebtToEquity
AAPL,Technology,Consumer Electronics,4376979046400.0,36.122425,31.040802,41.04821,0.36,1.086,,,0.26229,1.4147099,0.166,79.548
MSFT,Technology,Software - Infrastructure,2818348154880.0,22.569899,19.611391,6.802087,0.96,1.103,,,0.14814,0.34013999,0.183,30.271
JPM,Financial Services,Banks - Diversified,871430684672.0,15.575671,13.800566,2.5332804,1.84,1.0,,,0.01272,0.16465001,0.127,
V,Financial Services,Credit Services,622326579200.0,28.480417,22.015978,17.55391,0.82,0.765,,,0.19193001,0.60349,0.171,67.233
JNJ,Healthcare,Drug Manufacturers - General,549784256512.0,26.464657,17.958944,6.77012,2.35,0.256,,,0.08424,0.26416,0.099,67.73
WMT,Consumer Defensive,Discount Stores,932527669248.0,41.260563,35.647144,9.37365,0.84,0.599,,,0.06835,0.24132,0.073,74.816
PG,Consumer Defensive,Household & Personal Products,350174740480.0,21.98538,21.189295,6.515316,2.83,0.385,,,0.10925999,0.31112,0.074,67.651
XOM,Energy,Oil & Gas Integrated,571215183872.0,23.200336,12.934332,2.2202709,2.99,0.149,,,0.04221,0.09873,0.026,18.261
UNH,Healthcare,Healthcare Plans,364129550336.0,30.215523,19.156704,3.7195497,2.31,0.65,,,0.03783,0.121759996,0.02,73.982
HD,Consumer Cyclical,Home Improvement Retail,333316161536.0,23.758352,20.760399,24.021269,2.79,0.974,,,0.12519,1.2838,0.048,459.356
CVX,Energy,Oil & Gas Integrated,345801129984.0,30.196522,13.81663,1.8688784,4.1,0.472,,,0.0346,0.06638,0.023,23.989
MRK,Healthcare,Drug Manufacturers - General,281238929408.0,32.076057,11.906181,6.129953,2.99,0.218,,,0.12578,0.18944,0.049,106.936
KO,Consumer Defensive,Beverages - Non-Alcoholic,341574090752.0,24.965408,22.790428,10.15737,2.67,0.354,,,0.0951,0.43372002,0.121,124.943
DIS,Communication Services,Entertainment,180406173696.0,16.6224,13.857894,1.6676565,1.44,1.394,,,0.04449,0.1101,0.065,41.069
CSCO,Technology,Communication Equipment,471159111680.0,39.84667,25.027584,9.639545,1.41,1.004,,,0.07337,0.25229,0.12,67.541
MCD,Consumer Cyclical,Restaurants,197954027520.0,22.987623,19.59441,-153.92818,2.67,0.414,,,0.13561,,0.094,
BA,Industrials,Aerospace & Defense,175570698240.0,87.68504,53.264076,29.340008,,1.198,,,-0.02069,1.69947,0.14,828.696
CRM,Technology,Software - Application,124307816448.0,17.56713,9.795158,3.6310136,1.16,1.151,,,0.05703,0.16908,0.133,124.282
VZ,Communication Services,Telecom Services,189445095424.0,11.065854,8.61586,1.8337982,6.24,0.22,,,0.0508,0.17198,0.029,192.045
NKE,Consumer Cyclical,Footwear & Accessories,66936094720.0,29.736843,24.892061,4.747899,3.63,1.116,,,0.05195,0.16016,0.001,79.333
IBM,Technology,Information Technology Services,234125443072.0,22.024757,18.514898,7.100305,2.71,0.665,,,0.05369,0.35772,0.095,211.169
CAT,Industrials,Farm & Heavy Construction Machinery,454060769280.0,49.02138,32.738182,24.334625,0.66,1.603,,,0.085200004,0.51331,0.222,230.793
GS,Financial Services,Capital Markets,323493363712.0,20.039474,16.714497,3.0778818,1.64,1.291,,,0.00944,0.14548,0.145,678.596
TRV,Financial Services,Insurance - Property & Casualty,65454161920.0,9.182876,10.778273,2.0459018,1.62,0.495,,,0.04442,0.25272,0.01,28.975
AMGN,Healthcare,Drug Manufacturers - General,182205513728.0,23.47705,14.38051,19.82617,2.99,0.416,,,0.08347999,1.01318,0.058,623.754
HON,Industrials,Conglomerates,145112891392.0,36.641598,20.007618,10.67795,2.08,0.843,,,0.05953,0.24264,0.024,257.387
WBA,Unknown,Unknown,,,,,,,,,,,,
MMM,Industrials,Conglomerates,83763707904.0,30.944124,16.966522,25.671356,1.94,1.095,,,0.08118,0.71458,0.013,396.497
DOW,Basic Materials,Chemicals,22869125120.0,,14.615182,1.49974,4.41,0.405,,,-0.00135,-0.15262,-0.061,117.133
AXP,Financial Services,Credit Services,230626344960.0,21.098625,16.774277,6.780885,1.12,1.058,,,0.03796,0.34419,0.116,177.847
