Ticker,Sector,Industry,MarketCap,TrailingPE,ForwardPE,PriceToBook,DividendYield,Beta,ProfitMargin,OperatingMargin,ReturnOnAssets,ReturnOnEquity,RevenueGrowth,DebtToEquity
MMM,Industrials,Conglomerates,83763707904.0,30.944124,16.966522,25.671356,1.94,1.095,,,0.08118,0.71458,0.013,396.497
AOS,Industrials,Specialty Industrial Machinery,8024382464.0,15.525333,13.955774,4.2730274,2.44,1.175,,,0.12775,0.28267,-0.019,34.981
ABT,Healthcare,Medical Devices,153993707520.0,24.764708,14.590916,2.9579446,2.85,0.62,,,0.0559,0.123339996,0.078,64.773
ABBV,Healthcare,Drug Manufacturers - General,382492999680.0,106.12255,13.324904,-57.47014,3.2,0.309,,,0.10032,,0.124,
ACN,Technology,Information Technology Services,78316347392.0,10.222045,8.6672735,2.5211773,5.09,,,,0.10903,0.24406,0.056,25.035
ADBE,Technology,Software - Application,77576101888.0,11.158377,7.086649,6.760661,,1.404,,,0.19926001,0.62953997,0.127,61.443
AMD,Technology,Semiconductors,876235849728.0,178.52824,41.008965,13.588135,,2.492,,,0.03647,0.08063,0.378,6.005
AES,Utilities,Utilities - Diversified,10426364928.0,7.6145835,6.144045,2.3588254,4.81,0.946,,,0.027139999,0.052600004,0.087,259.603
AFL,Financial Services,Insurance - Life,58772488192.0,13.196571,15.186048,1.9675902,2.11,0.61,,,0.03088,0.16469,0.279,48.276
A,Healthcare,Diagnostics & Research,35885801472.0,25.514055,19.23298,5.0348706,0.8,1.256,,,0.08613,0.21330999,0.1,49.733
APD,Basic Materials,Specialty Chemicals,62397353984.0,29.495789,19.660078,3.9870517,2.58,0.747,,,0.03599,0.12353,0.088,101.611
ABNB,Consumer Cyclical,Travel Services,84521033728.0,35.25,23.48601,11.096308,,1.159,,,0.06245,0.32325,0.179,33.185
AKAM,Technology,Software - Infrastructure,18160097280.0,42.199326,17.492561,3.7036707,,0.598,,,0.03393,0.091680005,0.058,119.534
ALB,Basic Materials,Specialty Chemicals,18910822400.0,,12.843865,2.4823134,1.01,1.309,,,0.01605,-0.0182,0.327,19.845
ARE,Real Estate,REIT - Office,8892971008.0,,-57.988636,0.55366886,5.64,1.202,,,0.01001,-0.04144,-0.115,66.509
ALGN,Healthcare,Medical Instruments & Supplies,13040229376.0,30.601683,14.716128,3.1426156,,1.671,,,0.073309995,0.10824,0.062,2.797
ALLE,Industrials,Security & Protection Services,11478454272.0,18.247269,13.977066,5.4627624,1.59,0.875,,,0.11034001,0.34179002,0.097,105.863
LNT,Utilities,Utilities - Regulated Electric,18854223872.0,22.955975,19.80773,2.5402792,2.86,0.552,,,0.02617,0.113120005,0.05,159.526
ALL,Financial Services,Insurance - Property & Casualty,56933785600.0,4.8920593,8.411982,1.9273738,1.95,0.192,,,0.07521,0.45221,0.03,23.719
GOOGL,Communication Services,Internet Content & Information,4490912595968.0,28.093893,25.387682,9.313914,0.24,1.237,,,0.14641,0.38884997,0.218,20.026
GOOG,Communication Services,Internet Content & Information,4483957391360.0,28.007622,25.348362,9.299489,0.24,1.237,,,0.14641,0.38884997,0.218,20.026
MO,Consumer Defensive,Tobacco,115422887936.0,14.430063,11.767971,-35.96254,6.13,0.501,,,0.27609,,0.053,
AMZN,Consumer Cyclical,Internet Retail,2628929978368.0,31.656736,24.734953,5.947242,,1.444,,,0.06845,0.24285,0.166,53.3
AMCR,Consumer Cyclical,Packaging & Containers,18993162240.0,33.129032,9.581185,1.6294475,6.33,0.636,,,0.04079,0.08737001,0.774,143.74
AEE,Utilities,Utilities - Regulated Electric,30074597376.0,19.544964,18.70866,2.2181172,2.76,0.49,,,0.03086,0.117469996,0.037,155.674
AEP,Utilities,Utilities - Regulated Electric,69476769792.0,18.917038,18.620434,2.183743,2.98,0.518,,,0.031689998,0.12585,0.102,157.099
AXP,Financial Services,Credit Services,230626344960.0,21.098625,16.774277,6.780885,1.12,1.058,,,0.03796,0.34419,0.116,177.847
AIG,Financial Services,Insurance - Diversified,39245860864.0,13.03169,8.316293,0.9762595,2.7,0.541,,,0.01885,0.07723,0.014,22.647
AMT,Real Estate,REIT - Specialty,82020474880.0,28.395163,25.491884,23.290117,3.96,0.891,,,0.04911,0.29952,0.068,444.55
AWK,Utilities,Utilities - Regulated Water,24423735296.0,22.175533,19.069036,2.2128842,2.86,0.613,,,0.035099998,0.10217,0.057,142.33
AMP,Financial Services,Asset Management,42020593664.0,11.642092,9.799687,6.778179,1.45,1.166,,,0.024260001,0.66936,0.09,56.246
AME,Industrials,Specialty Industrial Machinery,54417379328.0,35.864048,26.98985,4.9836273,0.57,1.004,,,0.0801,0.14626999,0.113,22.489
AMGN,Healthcare,Drug Manufacturers - General,182205513728.0,23.47705,14.38051,19.82617,2.99,0.416,,,0.08347999,1.01318,0.058,623.754
APH,Technology,Electronic Components,201709256704.0,47.114944,28.835789,14.420405,0.61,1.275,,,0.13453001,0.36825,0.584,133.051
ADI,Technology,Semiconductors,211619823616.0,64.55572,29.392544,6.271707,1.01,1.183,,,0.054899998,0.09639,0.372,25.81
AON,Financial Services,Insurance Brokers,67861934080.0,17.448654,14.845408,6.90154,1.03,0.714,,,0.060510002,0.46447,0.065,155.05
APA,Energy,Oil & Gas E&P,11675121664.0,7.6993003,7.665689,1.8082775,3.03,0.327,,,0.09611,0.26217,-0.119,61.314
APO,Financial Services,Asset Management,79271157760.0,85.9375,12.957323,4.272575,1.64,1.488,,,0.00708,0.08492,-0.092,101.267
AAPL,Technology,Consumer Electronics,4376979046400.0,36.122425,31.040802,41.04821,0.36,1.086,,,0.26229,1.4147099,0.166,79.548
AMAT,Technology,Semiconductor Equipment & Materials,489960275968.0,58.163055,37.867664,20.492462,0.34,1.672,,,0.14858,0.39692003,0.114,30.399
APP,Communication Services,Advertising Agencies,157794156544.0,40.80886,21.42218,66.83409,,2.455,,,0.44236,2.66444,0.59,162.888
APTV,Consumer Cyclical,Auto Parts,13475995648.0,37.904762,9.3354225,1.4645815,,1.334,,,0.05698,0.040799998,0.054,103.823
ACGL,Financial Services,Insurance - Diversified,31857344512.0,7.0138464,9.218025,1.3720769,,0.306,,,0.045679998,0.21305999,-0.033,11.282
ADM,Consumer Defensive,Farm Products,36194934784.0,33.526783,14.175295,1.5873686,2.77,0.603,,,0.01669,0.047659997,0.016,46.128
ARES,Financial Services,Asset Management,42662363136.0,59.603683,17.668457,11.366552,4.18,1.516,,,0.02536,0.14182,0.283,168.762
ANET,Technology,Computer Hardware,213643264000.0,58.106163,38.08983,15.840724,,1.611,,,0.14359,0.31520998,0.351,
AJG,Financial Services,Insurance Brokers,55001001984.0,34.58158,14.39262,2.313012,1.31,0.533,,,0.0228,0.07007,0.346,56.18
AIZ,Financial Services,Insurance - Property & Casualty,12875448320.0,13.312499,11.565375,2.1991282,1.35,0.569,,,0.024360001,0.18016,0.113,37.61
T,Communication Services,Telecom Services,152932941824.0,7.240132,8.636588,1.3979042,5.04,0.395,,,0.041160002,0.18370001,0.029,125.175
ATO,Utilities,Utilities - Regulated Gas,28394731520.0,20.97534,18.962233,1.9045646,2.35,0.601,,,0.03876,0.096,0.006,64.588
ADSK,Technology,Software - Application,40924172288.0,28.336258,13.5859585,12.823873,,1.295,,,0.113249995,0.50396,0.184,85.419
ADP,Technology,Software - Application,87305961472.0,20.374067,17.91209,13.778942,3.11,0.845,,,0.05949,0.71208,0.07,69.259
AZO,Consumer Cyclical,Auto Parts,50028724224.0,21.096518,17.453056,-18.014591,,0.349,,,0.11389,,0.084,
AVB,Real Estate,REIT - Residential,25156755456.0,21.97274,36.397377,2.1437206,4.02,0.789,,,0.02646,0.09719,0.025,81.307
AVY,Consumer Cyclical,Packaging & Containers,12137493504.0,17.849268,14.210882,5.287923,2.52,0.833,,,0.082650006,0.30857,0.07,164.751
AXON,Industrials,Aerospace & Defense,34126919680.0,169.36,40.044033,9.652782,,1.422,,,0.00084,0.06765,0.337,52.074
BKR,Energy,Oil & Gas Equipment & Services,57946730496.0,18.66134,20.9895,2.9993837,1.58,0.938,,,0.05011,0.17184,0.025,82.935
BALL,Consumer Cyclical,Packaging & Containers,15367748608.0,16.827988,12.769798,2.7434766,1.39,1.014,,,0.04701,0.16785999,0.163,145.542
BAC,Financial Services,Banks - Diversified,398828404736.0,13.945409,11.126114,1.4535484,1.99,1.196,,,0.00927,0.10644,0.081,
BAX,Healthcare,Medical Instruments & Supplies,10272568320.0,,9.881363,1.6998546,1.01,0.642,,,0.02849,-0.15010999,0.029,161.021
BDX,Healthcare,Medical Instruments & Supplies,39672307712.0,25.1274,10.752872,1.6439075,2.92,0.278,,,0.04383,0.06672,0.052,71.599
BRK.B,Unknown,Unknown,,,,,,,,,,,,
BBY,Consumer Cyclical,Specialty Retail,15750627328.0,13.838889,10.566815,5.1072993,5.14,1.33,,,0.07771,0.39104,0.019,134.09
TECH,Healthcare,Biotechnology,9071593472.0,82.77143,28.18875,4.4911246,0.55,1.358,,,0.07452,0.053400002,-0.015,13.922
BIIB,Healthcare,Drug Manufacturers - General,29022504960.0,21.137634,11.824659,1.5556277,,0.177,,,0.059520002,0.077010006,0.019,35.181
BLK,Financial Services,Asset Management,171005591552.0,26.457294,17.294949,2.8779838,2.18,1.434,,,0.03615,0.118990004,0.27,23.635
BX,Financial Services,Asset Management,151303815168.0,31.741026,16.428448,11.61584,4.01,1.585,,,0.13028,0.29533002,0.057,72.022
XYZ,Technology,Software - Infrastructure,44507635712.0,58.421875,15.022127,2.027712,,2.552,,,0.02053,0.03743,0.049,37.514
BNY,Financial Services,Banks - Diversified,98584633344.0,17.820099,14.840601,2.4988692,1.48,1.065,,,0.01196,0.13472,0.134,
BA,Industrials,Aerospace & Defense,175570698240.0,87.68504,53.264076,29.340008,,1.198,,,-0.02069,1.69947,0.14,828.696
BKNG,Consumer Cyclical,Travel Services,133108621312.0,22.66227,13.961653,-15.358068,0.94,1.088,,,0.22259001,,0.162,
BSX,Healthcare,Medical Devices,67317026816.0,18.949791,12.16234,2.6025743,,0.559,,,0.060749996,0.14661,0.116,42.25
BMY,Healthcare,Drug Manufacturers - General,110271848448.0,15.126051,8.75742,5.4945054,4.67,0.238,,,0.10689,0.38731998,0.026,230.967
AVGO,Technology,Semiconductors,1957030658048.0,68.44426,21.220005,22.319588,0.63,1.433,,,0.121190004,0.37280998,0.479,74.018
BR,Technology,Information Technology Services,15914582016.0,14.700856,13.221642,5.6479087,2.83,0.888,,,0.091709994,0.42314,0.078,120.878
BRO,Financial Services,Insurance Brokers,20031817728.0,19.250814,12.140484,1.5726869,1.09,0.624,,,0.05515,0.11926,0.357,64.37
BF.B,Unknown,Unknown,,,,,,,,,,,,
BLDR,Industrials,Building Products & Equipment,8668250112.0,30.759542,13.706202,2.1639545,,1.45,,,0.033970002,0.06958,-0.101,132.159
BG,Consumer Defensive,Farm Products,21842558976.0,29.548557,10.341733,1.361306,2.56,0.617,,,0.02379,0.04933,0.878,93.214
BXP,Real Estate,REIT - Office,11536748544.0,32.51256,30.444336,1.9926697,4.33,1.062,,,0.01675,0.05525,0.006,211.994
CHRW,Industrials,Integrated Freight & Logistics,21811226624.0,37.45749,25.183664,12.829508,1.36,0.925,,,0.1008,0.34838,-0.008,96.501
CDNS,Technology,Software - Application,106848362496.0,90.0907,41.277573,16.284418,,1.149,,,0.10389,0.20656,0.187,46.992
CPT,Real Estate,REIT - Residential,10799883264.0,30.529411,68.26637,2.8127177,3.89,0.814,,,0.015829999,0.09064999,-0.005,104.147
COF,Financial Services,Credit Services,125410664448.0,62.200615,8.297708,1.1615226,1.59,1.037,,,0.00487,0.03259,0.463,
CAH,Healthcare,Medical Distribution,51939831808.0,33.909786,18.485762,-18.402622,0.92,0.526,,,0.03601,,0.11,
CCL,Consumer Cyclical,Travel Services,42759258112.0,13.599119,11.829037,3.2809012,0.97,2.331,,,0.05523,0.27853,0.061,203.901
CARR,Industrials,Building Products & Equipment,59643977728.0,47.873333,22.433474,4.438195,1.34,1.337,,,0.031489998,0.09907,0.024,91.102
CVNA,Consumer Cyclical,Auto & Truck Dealerships,73005383680.0,38.697674,30.75956,12.792619,,3.449,,,0.114300005,0.60172004,0.52,121.351
CASY,Consumer Cyclical,Specialty Retail,31219623936.0,43.867188,36.04123,7.8737764,0.28,0.624,,,0.07537,0.19153,0.145,73.155
CAT,Industrials,Farm & Heavy Construction Machinery,454060769280.0,49.02138,32.738182,24.334625,0.66,1.603,,,0.085200004,0.51331,0.222,230.793
CBOE,Financial Services,Financial Data & Stock Exchanges,26069258240.0,21.272417,16.927235,4.8523455,1.16,0.395,,,0.10593,0.2514,0.065,29.489
CBRE,Real Estate,Real Estate Services,38520020992.0,30.034246,14.844278,4.521551,,1.221,,,0.02717,0.15597,0.186,113.689
CDW,Technology,Information Technology Services,16399709184.0,15.616787,11.028757,6.4300737,1.96,0.987,,,0.06698,0.44157,0.092,240.522
COR,Healthcare,Medical Distribution,52887527424.0,20.829884,13.73875,15.566053,0.88,0.588,,,0.03486,1.0713401,0.038,420.985
